Record Date,Country - Currency Description,Exchange Rate,Effective Date
9/30/2024,Afghanistan-Afghani,68.46,9/30/2024
9/30/2024,Albania-Lek,87.85,9/30/2024
9/30/2024,Algeria-Dinar,131.49,9/30/2024
9/30/2024,Angola-Kwanza,949.825,9/30/2024
9/30/2024,Antigua & Barbuda-E. Caribbean Dollar,2.7,9/30/2024
9/30/2024,Argentina-Peso,989.5,9/30/2024
9/30/2024,Armenia-Dram,390,9/30/2024
9/30/2024,Australia-Dollar,1.445,9/30/2024
9/30/2024,Azerbaijan-Manat,1.7,9/30/2024
9/30/2024,Bahamas-Dollar,1,9/30/2024
9/30/2024,Bahrain-Dinar,0.377,9/30/2024
9/30/2024,Bangladesh-Taka,119,9/30/2024
9/30/2024,Barbados-Dollar,2.02,9/30/2024
9/30/2024,Belarus-New Ruble,3.21,9/30/2024
9/30/2024,Belize-Dollar,2,9/30/2024
9/30/2024,Benin-CFA Franc,585.75,9/30/2024
9/30/2024,Bermuda-Dollar,1,9/30/2024
9/30/2024,Bolivia-Boliviano,6.86,9/30/2024
9/30/2024,Bosnia-Marka,1.746,9/30/2024
9/30/2024,Botswana-Pula,12.97,9/30/2024
9/30/2024,Brazil-Real,5.434,9/30/2024
9/30/2024,Brunei-Dollar,1.281,9/30/2024
9/30/2024,Bulgaria-Lev New,1.746,9/30/2024
9/30/2024,Burkina Faso-CFA Franc,585.75,9/30/2024
9/30/2024,Burundi-Franc,2900,9/30/2024
9/30/2024,Cambodia-Riel,4051,9/30/2024
9/30/2024,Cameroon-CFA Franc,585.68,9/30/2024
9/30/2024,Canada-Dollar,1.352,9/30/2024
9/30/2024,Cape Verde-Escudo,98.44,9/30/2024
9/30/2024,Cayman Islands-Dollar,0.82,9/30/2024
9/30/2024,Central African Rep.-CFA Franc,585.68,9/30/2024
9/30/2024,Chad-CFA Franc,585.68,9/30/2024
9/30/2024,Chile-Peso,898.5,9/30/2024
9/30/2024,China-Renminbi,7.012,9/30/2024
9/30/2024,Colombia-Peso,4177.83,9/30/2024
9/30/2024,Comoros-Franc,439.65,9/30/2024
9/30/2024,Congo-CFA Franc,585.68,9/30/2024
9/30/2024,Costa Rica-Colon,516.65,9/30/2024
9/30/2024,Cote D'ivoire-CFA Franc,585.75,9/30/2024
9/30/2024,Cuba-Chavito,1,9/30/2024
9/30/2024,Cuba-Peso,24,9/30/2024
9/30/2024,Czech Republic-Koruna,21.912,9/30/2024
9/30/2024,Dem. Rep. of Congo-Congolese Franc,2836,9/30/2024
9/30/2024,Denmark-Krone,6.658,9/30/2024
9/30/2024,Djibouti-Franc,177,9/30/2024
9/30/2024,Dominican Republic-Peso,60.02,9/30/2024
9/30/2024,Ecuador-Dolares,1,9/30/2024
9/30/2024,Egypt-Pound,48.23,9/30/2024
9/30/2024,El Salvador-Dollar,1,9/30/2024
9/30/2024,Equatorial Guinea-CFA Franc,585.68,9/30/2024
9/30/2024,Eritrea-Nakfa,15,9/30/2024
9/30/2024,Eswatini-Lilangeni,17.16,9/30/2024
9/30/2024,Ethiopia-Birr,120,9/30/2024
9/30/2024,Euro Zone-Euro,0.893,9/30/2024
9/30/2024,Fiji-Dollar,2.149,9/30/2024
9/30/2024,Gabon-CFA Franc,585.68,9/30/2024
9/30/2024,Gambia-Dalasi,68,9/30/2024
9/30/2024,Georgia-Lari,2.705,9/30/2024
9/30/2024,Ghana-Cedi,15.75,9/30/2024
9/30/2024,Grenada-E.Caribbean Dollar,2.7,9/30/2024
9/30/2024,Guatemala-Quentzal,7.727,9/30/2024
9/30/2024,Guinea-Franc,8586,9/30/2024
9/30/2024,Guinea Bissau-CFA Franc,585.75,9/30/2024
9/30/2024,Guyana-Dollar,215,9/30/2024
9/30/2024,Haiti-Gourde,131.434,9/30/2024
9/30/2024,Honduras-Lempira,24.808,9/30/2024
9/30/2024,Hong Kong-Dollar,7.767,9/30/2024
9/30/2024,Hungary-Forint,354.55,9/30/2024
9/30/2024,Iceland-Krona,134.42,9/30/2024
9/30/2024,India-Rupee,83.767,9/30/2024
9/30/2024,Indonesia-Rupiah,15125,9/30/2024
9/30/2024,Iran-Rial,42000,9/30/2024
9/30/2024,Iraq-Dinar,1309,9/30/2024
9/30/2024,Israel-Shekel,3.707,9/30/2024
9/30/2024,Jamaica-Dollar,157,9/30/2024
9/30/2024,Japan-Yen,142.47,9/30/2024
9/30/2024,Jordan-Dinar,0.708,9/30/2024
9/30/2024,Kazakhstan-Tenge,480.6,9/30/2024
9/30/2024,Kenya-Shilling,128.5,9/30/2024
9/30/2024,Korea-Won,1310.7,9/30/2024
9/30/2024,Kuwait-Dinar,0.305,9/30/2024
9/30/2024,Kyrgyzstan-Som,84.2,9/30/2024
9/30/2024,Laos-Kip,22031,9/30/2024
9/30/2024,Lebanon-Pound,89500,9/30/2024
9/30/2024,Lesotho-Maloti,17.16,9/30/2024
9/30/2024,Liberia-Dollar,193,9/30/2024
9/30/2024,Libya-Dinar,4.732,9/30/2024
9/30/2024,Madagascar-Ariary,4530,9/30/2024
9/30/2024,Malawi-Kwacha,1751,9/30/2024
9/30/2024,Malaysia-Ringgit,4.121,9/30/2024
9/30/2024,Maldives-Rufiyaa,15.42,9/30/2024
9/30/2024,Mali-CFA Franc,585.75,9/30/2024
9/30/2024,Marshall Islands-U.S. Dollar,1,9/30/2024
9/30/2024,Mauritania-Ouguiya,39.49,9/30/2024
9/30/2024,Mauritius-Rupee,45.75,9/30/2024
9/30/2024,Mexico-Peso,19.655,9/30/2024
9/30/2024,Micronesia-U.S. Dollar,1,9/30/2024
9/30/2024,Moldova-LEU,17.3,9/30/2024
9/30/2024,Mongolia-Tugrik,3381,9/30/2024
9/30/2024,Morocco-Dirham,9.697,9/30/2024
9/30/2024,Mozambique-Metical,63.25,9/30/2024
9/30/2024,Myanmar-Kyat,3511,9/30/2024
9/30/2024,Nambia-Dollar,17.16,9/30/2024
9/30/2024,Nepal-Rupee,134.07,9/30/2024
9/30/2024,Netherlands Antilles-Guilder,1.78,9/30/2024
9/30/2024,New Zealand-Dollar,1.574,9/30/2024
9/30/2024,Nicaragua-Cordoba,36.6,9/30/2024
9/30/2024,Niger-CFA Franc,585.75,9/30/2024
9/30/2024,Nigeria-Naira,1630,9/30/2024
9/30/2024,Norway-Krone,10.522,9/30/2024
9/30/2024,Oman-Rial,0.384,9/30/2024
9/30/2024,Pakistan-Rupee,277.7,9/30/2024
9/30/2024,Palau-Dollar,1,9/30/2024
9/30/2024,Panama-Dolares,1,9/30/2024
9/30/2024,Papua New Guinea-Kina,3.919,9/30/2024
9/30/2024,Paraguay-Guarani,7802.78,9/30/2024
9/30/2024,Peru-Sol,3.698,9/30/2024
9/30/2024,Philippines-Peso,56.015,9/30/2024
9/30/2024,Poland-Zloty,3.821,9/30/2024
9/30/2024,Qatar-Riyal,3.644,9/30/2024
9/30/2024,Rep. of N. Macedonia-Denar,54.75,9/30/2024
9/30/2024,Romania-New Leu,4.441,9/30/2024
9/30/2024,Russia-Ruble,92.9,9/30/2024
9/30/2024,Rwanda-Franc,1340,9/30/2024
9/30/2024,Sao Tome & Principe-New Dobras,21.887,9/30/2024
9/30/2024,Saudi Arabia-Riyal,3.75,9/30/2024
9/30/2024,Senegal-CFA Franc,585.75,9/30/2024
9/30/2024,Serbia-Dinar,104.45,9/30/2024
9/30/2024,Seychelles-Rupee,13.62,9/30/2024
9/30/2024,Sierra Leone-Leone,23.5,9/30/2024
9/30/2024,Sierra Leone-Old Leone,21.4,9/30/2024
9/30/2024,Singapore-Dollar,1.281,9/30/2024
9/30/2024,Solomon Islands-Dollar,8.065,9/30/2024
9/30/2024,Somali-Shilling,568,9/30/2024
9/30/2024,South Africa-Rand,17.16,9/30/2024
9/30/2024,South Sudan-Sudanese Pound,3100,9/30/2024
9/30/2024,Sri Lanka-Rupee,296,9/30/2024
9/30/2024,St. Lucia-E. Caribbean Dollar,2.7,9/30/2024
9/30/2024,Sudan-Pound,1980,9/30/2024
9/30/2024,Suriname-Dollar,34.03,10/31/2024
9/30/2024,Suriname-Dollar,30.515,9/30/2024
9/30/2024,Sweden-Krona,10.093,9/30/2024
9/30/2024,Switzerland-Franc,0.843,9/30/2024
9/30/2024,Syria-Pound,12625,9/30/2024
9/30/2024,Taiwan-Dollar,31.666,9/30/2024
9/30/2024,Tajikistan-Somoni,10.57,9/30/2024
9/30/2024,Tanzania-Shilling,2725,9/30/2024
9/30/2024,Thailand-Baht,32.21,9/30/2024
9/30/2024,Timor-Leste-Dili,1,9/30/2024
9/30/2024,Togo-CFA Franc,585.75,9/30/2024
9/30/2024,Tonga-Pa'anga,2.237,9/30/2024
9/30/2024,Trinidad & Tobago-Dollar,6.769,9/30/2024
9/30/2024,Tunisia-Dinar,3.015,9/30/2024
9/30/2024,Turkey-New Lira,34.178,9/30/2024
9/30/2024,Turkmenistan-New Manat,3.491,9/30/2024
9/30/2024,Uganda-Shilling,3685,9/30/2024
9/30/2024,Ukraine-Hryvnia,41.19,9/30/2024
9/30/2024,United Arab Emirates-Dirham,3.673,9/30/2024
9/30/2024,United Kingdom-Pound,0.745,9/30/2024
9/30/2024,Uruguay-Peso,41.69,9/30/2024
9/30/2024,Uzbekistan-Som,12651.84,9/30/2024
9/30/2024,Vanuatu-Vatu,116,9/30/2024
9/30/2024,Venezuela-Bolivar Soberano,42.456,10/31/2024
9/30/2024,Venezuela-Bolivar Soberano,36.816,9/30/2024
9/30/2024,Venezuela-Fuerte (OLD),248832,9/30/2024
9/30/2024,Vietnam-Dong,24555,9/30/2024
9/30/2024,Western Samoa-Tala,2.653,9/30/2024
9/30/2024,Yemen-Rial,528,9/30/2024
9/30/2024,Zambia-New Kwacha,26.45,9/30/2024
9/30/2024,Zimbabwe-Gold,27.246,10/31/2024
9/30/2024,Zimbabwe-Gold,23.639,9/30/2024
